         136450955 function calls (133398617 primitive calls) in 99.381 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
   238800    0.455    0.000    0.821    0.000 C:\Users\Madan.KUdayappan\AppData\Local\miniconda3\Lib\site-packages\pandas\core\dtypes\cast.py:1573(construct_1d_object_array_from_listlike)
   813623    0.814    0.000    0.814    0.000 {built-in method numpy.empty}
   155023    0.125    0.000    0.798    0.000 C:\Users\Madan.KUdayappan\AppData\Local\miniconda3\Lib\site-packages\pandas\core\internals\managers.py:1805(is_consolidated)
   125173    0.191    0.000    0.792    0.000 C:\Users\Madan.KUdayappan\AppData\Local\miniconda3\Lib\site-packages\numpy\core\_ufunc_config.py:435(__exit__)
   250996    0.451    0.000    0.784    0.000 C:\Users\Madan.KUdayappan\AppData\Local\miniconda3\Lib\warnings.py:181(_add_filter)
   119600    0.541    0.000    0.764    0.000 C:\Users\Madan.KUdayappan\AppData\Local\miniconda3\Lib\site-packages\pandas\core\internals\concat.py:741(_combine_concat_plans)
   125173    0.175    0.000    0.751    0.000 C:\Users\Madan.KUdayappan\AppData\Local\miniconda3\Lib\site-packages\pandas\core\dtypes\missing.py:307(_isna_string_dtype)
   625915    0.663    0.000    0.747    0.000 C:\Users\Madan.KUdayappan\AppData\Local\miniconda3\Lib\site-packages\pandas\core\internals\managers.py:2011(internal_values)
   405369    0.570    0.000    0.745    0.000 C:\Users\Madan.KUdayappan\AppData\Local\miniconda3\Lib\site-packages\pandas\_config\config.py:596(_get_root)
   268841    0.217    0.000    0.725    0.000 C:\Users\Madan.KUdayappan\AppData\Local\miniconda3\Lib\site-packages\pandas\core\internals\concat.py:686(<genexpr>)
  5343792    0.702    0.000    0.725    0.000 {built-in method builtins.getattr}
    59698    0.032    0.000    0.716    0.000 C:\Users\Madan.KUdayappan\AppData\Local\miniconda3\Lib\site-packages\pandas\core\indexes\api.py:299(<genexpr>)
    90150    0.263    0.000    0.709    0.000 C:\Users\Madan.KUdayappan\AppData\Local\miniconda3\Lib\site-packages\pandas\core\internals\blocks.py:2372(new_block_2d)
   310046    0.464    0.000    0.707    0.000 C:\Users\Madan.KUdayappan\AppData\Local\miniconda3\Lib\site-packages\pandas\core\indexes\range.py:166(_simple_new)
  1357113    0.703    0.000    0.703    0.000 {pandas._libs.lib.is_list_like}
    59799    0.448    0.000    0.700    0.000 {method '_rebuild_blknos_and_blklocs' of 'pandas._libs.internals.BlockManager' objects}
  1187107    0.456    0.000    0.696    0.000 C:\Users\Madan.KUdayappan\AppData\Local\miniconda3\Lib\site-packages\pandas\core\dtypes\inference.py:328(is_hashable)
  1258926    0.488    0.000    0.689    0.000 C:\Users\Madan.KUdayappan\AppData\Local\miniconda3\Lib\site-packages\pandas\core\dtypes\common.py:1459(get_dtype)
    29850    0.103    0.000    0.685    0.000 C:\Users\Madan.KUdayappan\AppData\Local\miniconda3\Lib\site-packages\pandas\core\internals\construction.py:469(<listcomp>)
    89600    0.276    0.000    0.685    0.000 C:\Users\Madan.KUdayappan\AppData\Local\miniconda3\Lib\site-packages\numpy\core\_dtype.py:346(_name_get)
  1061186    0.363    0.000    0.678    0.000 C:\Users\Madan.KUdayappan\AppData\Local\miniconda3\Lib\site-packages\pandas\core\dtypes\common.py:1650(<genexpr>)
   155023    0.368    0.000    0.673    0.000 C:\Users\Madan.KUdayappan\AppData\Local\miniconda3\Lib\site-packages\pandas\core\internals\managers.py:1813(_consolidate_check)
